Date,Time,Accel X,Accel Y,Accel Z,Gyro X,Gyro Y,Gyro Z
4/7/2020,12:34:52.985991,-0.67, 0.31, 9.86,4.40, -1.15, 2.58
4/7/2020,12:34:58.065939,-0.66, 0.31, 9.86,4.37, -1.31, 2.51
4/7/2020,12:35:03.139975,-0.67, 0.32, 9.86,4.38, -1.32, 2.53
4/7/2020,12:35:08.220682,-0.67, 0.32, 9.85,4.47, -1.51, 2.41
4/7/2020,12:35:13.292820,-0.67, 0.32, 9.86,4.38, -1.37, 2.50
4/7/2020,12:35:18.371141,-0.66, 0.32, 9.85,4.27, -1.13, 2.70
4/7/2020,12:35:23.443264,-0.66, 0.32, 9.85,4.34, -1.45, 2.48
4/7/2020,12:35:28.527220,-0.67, 0.32, 9.86,4.40, -1.34, 2.53
4/7/2020,12:35:33.602236,-0.66, 0.31, 9.85,4.41, -1.36, 2.53
4/7/2020,12:35:38.681156,-0.67, 0.32, 9.86,4.43, -1.24, 2.60
4/7/2020,12:35:43.753638,-0.66, 0.31, 9.86,4.39, -1.29, 2.54
4/7/2020,12:35:48.834087,-0.67, 0.31, 9.85,4.38, -1.33, 2.55
4/7/2020,12:35:53.906805,-0.65, 0.32, 9.85,4.30, -1.14, 2.53
4/7/2020,12:35:58.983585,-0.65, 0.31, 9.85,4.43, -1.33, 2.49
4/7/2020,12:36:04.055887,-0.65, 0.31, 9.86,4.43, -1.28, 2.52
4/7/2020,12:36:09.136328,-0.66, 0.31, 9.86,4.33, -1.27, 2.56
4/7/2020,12:36:14.210829,-0.67, 0.32, 9.86,4.42, -1.56, 2.31
4/7/2020,12:36:19.289295,-0.65, 0.32, 9.85,4.37, -1.34, 2.67
4/7/2020,12:36:24.364015,-0.67, 0.31, 9.85,4.38, -1.51, 2.44
4/7/2020,12:36:29.443463,-0.65, 0.31, 9.85,4.42, -1.39, 2.53
4/7/2020,12:36:34.520413,-0.66, 0.32, 9.87,4.41, -1.24, 2.56
